Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.655125,0.5644526729923629,0.3271849218592796,0.41424992569317654
Decision Tree,0.571975,0.42834002850848774,0.4434234355087531,0.4357512441090202
Random Forest,0.64945,0.5519503338409277,0.316050707626266,0.4019448946515397
Gradient Boosting,0.658075,0.5740918931922059,0.32014219598899996,0.41105800284201005
